,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-11-17,1,12.0,449.6065942300487
2020-11-18,4,16.0,599.4754589733983
2020-11-19,0,15.0,562.0082427875608
2020-11-20,1,11.0,412.1393780442113
2020-11-21,3,13.0,487.07381041588604
2020-11-22,0,11.0,412.1393780442113
2020-11-23,2,11.0,412.1393780442113
2020-11-24,2,12.0,449.6065942300487
2020-11-25,0,8.0,299.73772948669915
2020-11-26,1,9.0,337.2049456725365
2020-11-27,0,8.0,299.73772948669915
2020-11-28,3,8.0,299.73772948669915
2020-11-29,0,8.0,299.73772948669915
2020-11-30,4,10.0,374.6721618583739
2020-12-01,0,8.0,299.73772948669915
2020-12-02,0,8.0,299.73772948669915
2020-12-03,0,7.0,262.27051330086175
2020-12-04,1,8.0,299.73772948669915
2020-12-05,1,6.0,224.80329711502435
2020-12-06,1,7.0,262.27051330086175
2020-12-07,0,3.0,112.40164855751217
2020-12-08,1,4.0,149.86886474334958
2020-12-09,0,4.0,149.86886474334958
2020-12-10,1,5.0,187.33608092918695
2020-12-11,1,5.0,187.33608092918695
2020-12-12,3,7.0,262.27051330086175
2020-12-13,0,6.0,224.80329711502435
2020-12-14,0,6.0,224.80329711502435
2020-12-15,1,6.0,224.80329711502435
2020-12-16,0,6.0,224.80329711502435
2020-12-17,0,5.0,187.33608092918695
2020-12-18,0,4.0,149.86886474334958
2020-12-19,0,1.0,37.467216185837394
2020-12-20,1,2.0,74.93443237167479
2020-12-21,0,2.0,74.93443237167479
2020-12-22,1,2.0,74.93443237167479
2020-12-23,0,2.0,74.93443237167479
2020-12-24,0,2.0,74.93443237167479
2020-12-25,1,3.0,112.40164855751217
2020-12-26,0,3.0,112.40164855751217
2020-12-27,2,4.0,149.86886474334958
2020-12-28,0,4.0,149.86886474334958
2020-12-29,1,4.0,149.86886474334958
2020-12-30,0,4.0,149.86886474334958
2020-12-31,1,5.0,187.33608092918695
2021-01-01,0,4.0,149.86886474334958
2021-01-02,1,5.0,187.33608092918695
2021-01-03,0,3.0,112.40164855751217
2021-01-04,0,3.0,112.40164855751217
2021-01-05,0,2.0,74.93443237167479
2021-01-07,1,3.0,112.40164855751217
2021-01-08,0,2.0,74.93443237167479
2021-01-09,0,2.0,74.93443237167479
2021-01-10,0,1.0,37.467216185837394
2021-01-11,1,2.0,74.93443237167479
2021-01-12,0,2.0,74.93443237167479
2021-01-13,0,2.0,74.93443237167479
2021-01-14,1,2.0,74.93443237167479
2021-01-15,1,3.0,112.40164855751217
2021-01-16,0,3.0,112.40164855751217
2021-01-17,0,3.0,112.40164855751217
2021-01-18,0,2.0,74.93443237167479
2021-01-19,1,3.0,112.40164855751217
2021-01-20,0,3.0,112.40164855751217
2021-01-21,0,2.0,74.93443237167479
2021-01-22,2,3.0,112.40164855751217
2021-01-23,0,3.0,112.40164855751217
2021-01-24,1,4.0,149.86886474334958
2021-01-25,1,5.0,187.33608092918695
2021-01-26,0,4.0,149.86886474334958
2021-01-27,0,4.0,149.86886474334958
2021-01-28,0,4.0,149.86886474334958
2021-01-29,0,2.0,74.93443237167479
2021-01-30,0,2.0,74.93443237167479
2021-01-31,0,1.0,37.467216185837394
2021-02-01,0,0.0,0.0
2021-02-02,0,0.0,0.0
2021-02-03,0,0.0,0.0
2021-02-04,0,0.0,0.0
2021-02-05,0,0.0,0.0
2021-02-06,0,0.0,0.0
2021-02-07,0,0.0,0.0
2021-02-08,0,0.0,0.0
2021-02-09,0,0.0,0.0
2021-02-10,0,0.0,0.0
2021-02-11,0,0.0,0.0
2021-02-12,0,0.0,0.0
2021-02-13,0,0.0,0.0
2021-02-14,0,0.0,0.0
2021-02-15,0,0.0,0.0
2021-02-16,1,1.0,37.467216185837394
2021-02-17,0,1.0,37.467216185837394
2021-02-18,0,1.0,37.467216185837394
2021-02-19,0,1.0,37.467216185837394
2021-02-20,0,1.0,37.467216185837394
2021-02-21,0,1.0,37.467216185837394
2021-02-22,3,4.0,149.86886474334958
2021-02-23,1,4.0,149.86886474334958
2021-02-24,0,4.0,149.86886474334958
2021-02-25,1,5.0,187.33608092918695
2021-02-26,3,8.0,299.73772948669915
2021-02-27,5,13.0,487.07381041588604
2021-02-28,0,13.0,487.07381041588604
2021-03-01,5,15.0,562.0082427875608
2021-03-02,0,14.0,524.5410266017235
2021-03-03,2,16.0,599.4754589733983
2021-03-04,1,16.0,599.4754589733983
2021-03-05,5,18.0,674.409891345073
2021-03-06,2,15.0,562.0082427875608
2021-03-07,5,20.0,749.3443237167478
2021-03-08,0,15.0,562.0082427875608
2021-03-09,1,16.0,599.4754589733983
2021-03-10,2,16.0,599.4754589733983
2021-03-11,1,16.0,599.4754589733983
2021-03-12,0,11.0,412.1393780442113
2021-03-13,0,9.0,337.2049456725365
2021-03-14,3,7.0,262.27051330086175
2021-03-15,2,9.0,337.2049456725365
2021-03-16,1,9.0,337.2049456725365
2021-03-17,1,8.0,299.73772948669915
2021-03-18,2,9.0,337.2049456725365
2021-03-19,2,11.0,412.1393780442113
2021-03-20,1,12.0,449.6065942300487
2021-03-21,2,11.0,412.1393780442113
2021-03-22,1,10.0,374.6721618583739
2021-03-23,0,9.0,337.2049456725365
2021-03-24,0,8.0,299.73772948669915
2021-03-25,0,6.0,224.80329711502435
2021-03-26,3,7.0,262.27051330086175
