,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-11-17,1,7.0,236.00809170600135
2020-11-18,2,6.0,202.29265003371546
2020-11-19,0,5.0,168.57720836142954
2020-11-20,0,4.0,134.86176668914362
2020-11-21,2,6.0,202.29265003371546
2020-11-22,0,5.0,168.57720836142954
2020-11-23,0,5.0,168.57720836142954
2020-11-24,2,6.0,202.29265003371546
2020-11-25,1,5.0,168.57720836142954
2020-11-26,2,7.0,236.00809170600135
2020-11-27,1,8.0,269.72353337828724
2020-11-28,0,6.0,202.29265003371546
2020-11-29,0,6.0,202.29265003371546
2020-11-30,1,7.0,236.00809170600135
2020-12-01,1,6.0,202.29265003371546
2020-12-02,0,5.0,168.57720836142954
2020-12-03,0,3.0,101.14632501685773
2020-12-04,0,2.0,67.43088334457181
2020-12-05,0,2.0,67.43088334457181
2020-12-06,1,3.0,101.14632501685773
2020-12-07,0,2.0,67.43088334457181
2020-12-08,0,1.0,33.715441672285905
2020-12-09,0,1.0,33.715441672285905
2020-12-10,0,1.0,33.715441672285905
2020-12-11,0,1.0,33.715441672285905
2020-12-12,2,3.0,101.14632501685773
2020-12-13,2,4.0,134.86176668914362
2020-12-14,0,4.0,134.86176668914362
2020-12-15,0,4.0,134.86176668914362
2020-12-16,1,5.0,168.57720836142954
2020-12-17,0,5.0,168.57720836142954
2020-12-18,1,6.0,202.29265003371546
2020-12-19,1,5.0,168.57720836142954
2020-12-20,0,3.0,101.14632501685773
2020-12-21,0,3.0,101.14632501685773
2020-12-22,2,5.0,168.57720836142954
2020-12-23,0,4.0,134.86176668914362
2020-12-24,0,4.0,134.86176668914362
2020-12-25,0,3.0,101.14632501685773
2020-12-26,0,2.0,67.43088334457181
2020-12-27,0,2.0,67.43088334457181
2020-12-28,1,3.0,101.14632501685773
2020-12-29,0,1.0,33.715441672285905
2020-12-30,0,1.0,33.715441672285905
2020-12-31,0,1.0,33.715441672285905
2021-01-01,2,3.0,101.14632501685773
2021-01-02,0,3.0,101.14632501685773
2021-01-03,1,4.0,134.86176668914362
2021-01-04,0,3.0,101.14632501685773
2021-01-05,2,5.0,168.57720836142954
2021-01-07,0,5.0,168.57720836142954
2021-01-08,2,7.0,236.00809170600135
2021-01-09,1,6.0,202.29265003371546
2021-01-10,1,7.0,236.00809170600135
2021-01-11,0,6.0,202.29265003371546
2021-01-12,0,6.0,202.29265003371546
2021-01-13,0,4.0,134.86176668914362
2021-01-14,2,6.0,202.29265003371546
2021-01-15,1,5.0,168.57720836142954
2021-01-16,0,4.0,134.86176668914362
2021-01-17,3,6.0,202.29265003371546
2021-01-18,0,6.0,202.29265003371546
2021-01-19,0,6.0,202.29265003371546
2021-01-20,0,6.0,202.29265003371546
2021-01-21,1,5.0,168.57720836142954
2021-01-22,0,4.0,134.86176668914362
2021-01-23,0,4.0,134.86176668914362
2021-01-24,1,2.0,67.43088334457181
2021-01-25,0,2.0,67.43088334457181
2021-01-26,1,3.0,101.14632501685773
2021-01-27,0,3.0,101.14632501685773
2021-01-28,1,3.0,101.14632501685773
2021-01-29,2,5.0,168.57720836142954
2021-01-30,4,9.0,303.43897505057316
2021-01-31,0,8.0,269.72353337828724
2021-02-01,1,9.0,303.43897505057316
2021-02-02,0,8.0,269.72353337828724
2021-02-03,0,8.0,269.72353337828724
2021-02-04,1,8.0,269.72353337828724
2021-02-05,2,8.0,269.72353337828724
2021-02-06,2,6.0,202.29265003371546
2021-02-07,2,8.0,269.72353337828724
2021-02-08,0,7.0,236.00809170600135
2021-02-09,0,7.0,236.00809170600135
2021-02-10,0,7.0,236.00809170600135
2021-02-11,0,6.0,202.29265003371546
2021-02-12,0,4.0,134.86176668914362
2021-02-13,0,2.0,67.43088334457181
2021-02-14,2,2.0,67.43088334457181
2021-02-15,0,2.0,67.43088334457181
2021-02-16,0,2.0,67.43088334457181
2021-02-17,0,2.0,67.43088334457181
2021-02-18,1,3.0,101.14632501685773
2021-02-19,0,3.0,101.14632501685773
2021-02-20,1,4.0,134.86176668914362
2021-02-21,5,7.0,236.00809170600135
2021-02-22,0,7.0,236.00809170600135
2021-02-23,0,7.0,236.00809170600135
2021-02-24,0,7.0,236.00809170600135
2021-02-25,0,6.0,202.29265003371546
2021-02-26,1,7.0,236.00809170600135
2021-02-27,0,6.0,202.29265003371546
2021-02-28,0,1.0,33.715441672285905
2021-03-01,3,4.0,134.86176668914362
2021-03-02,1,5.0,168.57720836142954
2021-03-03,0,5.0,168.57720836142954
2021-03-04,0,5.0,168.57720836142954
2021-03-05,0,4.0,134.86176668914362
2021-03-06,1,5.0,168.57720836142954
2021-03-07,0,5.0,168.57720836142954
2021-03-08,0,2.0,67.43088334457181
2021-03-09,2,3.0,101.14632501685773
2021-03-10,0,3.0,101.14632501685773
2021-03-11,0,3.0,101.14632501685773
2021-03-12,1,4.0,134.86176668914362
2021-03-13,0,3.0,101.14632501685773
2021-03-14,0,3.0,101.14632501685773
2021-03-15,0,3.0,101.14632501685773
2021-03-16,1,2.0,67.43088334457181
2021-03-17,0,2.0,67.43088334457181
2021-03-18,2,4.0,134.86176668914362
2021-03-19,1,4.0,134.86176668914362
2021-03-20,1,5.0,168.57720836142954
2021-03-21,3,8.0,269.72353337828724
2021-03-22,0,8.0,269.72353337828724
2021-03-23,1,8.0,269.72353337828724
2021-03-24,0,8.0,269.72353337828724
2021-03-25,2,8.0,269.72353337828724
2021-03-26,0,7.0,236.00809170600135
2021-03-27,1,7.0,236.00809170600135
2021-03-28,0,4.0,134.86176668914362
2021-03-29,1,5.0,168.57720836142954
2021-03-30,2,6.0,202.29265003371546
2021-03-31,0,6.0,202.29265003371546
2021-04-01,2,6.0,202.29265003371546
2021-04-02,3,9.0,303.43897505057316
