,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-11-11,5,41.0,407.149950347567
2020-11-12,17,53.0,526.3157894736842
2020-11-13,8,56.0,556.1072492552134
2020-11-14,6,51.0,506.454816285998
2020-11-15,9,54.0,536.2462760675273
2020-11-16,4,55.0,546.1767626613704
2020-11-17,10,59.0,585.8987090367428
2020-11-18,12,66.0,655.4121151936445
2020-11-19,1,50.0,496.52432969215494
2020-11-20,6,48.0,476.66335650446877
2020-11-21,9,51.0,506.454816285998
2020-11-22,10,52.0,516.3853028798411
2020-11-23,13,61.0,605.7596822244291
2020-11-24,14,65.0,645.4816285998014
2020-11-25,2,55.0,546.1767626613704
2020-11-26,0,54.0,536.2462760675273
2020-11-27,9,57.0,566.0377358490566
2020-11-28,6,54.0,536.2462760675273
2020-11-29,0,44.0,436.9414101290963
2020-11-30,5,36.0,357.4975173783516
2020-12-01,6,28.0,278.0536246276067
2020-12-02,7,33.0,327.70605759682223
2020-12-03,8,41.0,407.149950347567
2020-12-04,6,38.0,377.35849056603774
2020-12-05,2,34.0,337.63654419066535
2020-12-06,6,40.0,397.2194637537239
2020-12-07,7,42.0,417.0804369414101
2020-12-08,4,40.0,397.2194637537239
2020-12-09,1,34.0,337.63654419066535
2020-12-10,1,27.0,268.12313803376367
2020-12-11,0,21.0,208.54021847070504
2020-12-12,10,29.0,287.9841112214499
2020-12-13,1,24.0,238.33167825223438
2020-12-14,2,19.0,188.67924528301887
2020-12-15,1,16.0,158.88778550148956
2020-12-16,0,15.0,148.95729890764648
2020-12-17,1,15.0,148.95729890764648
2020-12-18,6,21.0,208.54021847070504
2020-12-19,1,12.0,119.16583912611719
2020-12-20,10,21.0,208.54021847070504
2020-12-21,2,21.0,208.54021847070504
2020-12-22,0,20.0,198.60973187686196
2020-12-23,2,22.0,218.47070506454816
2020-12-24,3,24.0,238.33167825223438
2020-12-25,3,21.0,208.54021847070504
2020-12-26,1,21.0,208.54021847070504
2020-12-27,2,13.0,129.09632571996028
2020-12-28,1,12.0,119.16583912611719
2020-12-29,0,12.0,119.16583912611719
2020-12-30,1,11.0,109.23535253227408
2020-12-31,4,12.0,119.16583912611719
2021-01-01,1,10.0,99.30486593843098
2021-01-02,6,15.0,148.95729890764648
2021-01-03,6,19.0,188.67924528301887
2021-01-04,1,19.0,188.67924528301887
2021-01-05,1,20.0,198.60973187686196
2021-01-07,5,24.0,238.33167825223438
2021-01-08,4,24.0,238.33167825223438
2021-01-09,4,27.0,268.12313803376367
2021-01-10,4,25.0,248.26216484607747
2021-01-11,2,21.0,208.54021847070504
2021-01-12,5,25.0,248.26216484607747
2021-01-13,2,26.0,258.19265143992055
2021-01-14,1,22.0,218.47070506454816
2021-01-15,9,27.0,268.12313803376367
2021-01-16,4,27.0,268.12313803376367
2021-01-17,0,23.0,228.40119165839127
2021-01-18,3,24.0,238.33167825223438
2021-01-19,0,19.0,188.67924528301887
2021-01-20,1,18.0,178.7487586891758
2021-01-21,1,18.0,178.7487586891758
2021-01-22,5,14.0,139.02681231380336
2021-01-23,2,12.0,119.16583912611719
2021-01-24,2,14.0,139.02681231380336
2021-01-25,4,15.0,148.95729890764648
2021-01-26,1,16.0,158.88778550148956
2021-01-27,0,15.0,148.95729890764648
2021-01-28,3,17.0,168.81827209533267
2021-01-29,3,15.0,148.95729890764648
2021-01-30,1,14.0,139.02681231380336
2021-01-31,3,15.0,148.95729890764648
2021-02-01,0,11.0,109.23535253227408
2021-02-02,8,18.0,178.7487586891758
2021-02-03,0,18.0,178.7487586891758
2021-02-04,4,19.0,188.67924528301887
2021-02-05,9,25.0,248.26216484607747
2021-02-06,9,33.0,327.70605759682223
2021-02-07,4,34.0,337.63654419066535
2021-02-08,4,38.0,377.35849056603774
2021-02-09,3,33.0,327.70605759682223
2021-02-10,0,33.0,327.70605759682223
2021-02-11,1,30.0,297.91459781529295
2021-02-12,7,28.0,278.0536246276067
2021-02-13,3,22.0,218.47070506454816
2021-02-14,1,19.0,188.67924528301887
2021-02-15,4,19.0,188.67924528301887
2021-02-16,1,17.0,168.81827209533267
2021-02-17,0,17.0,168.81827209533267
2021-02-18,1,17.0,168.81827209533267
2021-02-19,2,12.0,119.16583912611719
2021-02-20,1,10.0,99.30486593843098
2021-02-21,5,14.0,139.02681231380336
2021-02-22,4,14.0,139.02681231380336
2021-02-23,6,19.0,188.67924528301887
2021-02-24,1,20.0,198.60973187686196
2021-02-25,8,27.0,268.12313803376367
2021-02-26,11,36.0,357.4975173783516
2021-02-27,4,39.0,387.28897715988086
2021-02-28,11,45.0,446.8718967229395
2021-03-01,7,48.0,476.66335650446877
2021-03-02,8,50.0,496.52432969215494
2021-03-03,1,50.0,496.52432969215494
